,Type,Avg BertScore,Std Bert,Max Bert,CQ Max Bert,Min Bert,CQ Min Bert,Bert Quartiles,Avg Meteor,Max Meteor,Min Meteor,Std Meteor,CQ Max Meteor,CQ Min Meteor,Meteor Quartiles,Avg chrF,Max chrF,Min chrF,Std chrF,CQ Max chrF,CQ Min chrF,chrF Quartiles,Avg Rouge F1,Rouge std F1,Max Rouge F1,CQ Max Rouge F1,Min Rouge F1,Worst CQ F1,Rouge Quartiles F1,Num Templates,Avg Bert F1,Std Bert F1,Max Bert F1,Sum Metrics
86,Using Chunks pythia-410m-deduped 10,"(0.42195365, 0.48519272, 0.43902257)","(0.11177136, 0.08599119, 0.082286954)","(0.5573, 0.6691, 0.6081)","("" What do EC's and EC members do in sports?"", 'What does a sport club play?')","(0.1996, 0.2312, 0.2143)","(' Create a personal or professional profile. A personal profile will be a profile of the sport, and will include a reference to the profile on a professional or personal basis. You will have the opportunity to have a set of profile photos, or a picture of a sport on the face of it. In the case of professional profiles, you will often want to create a photo profile, but not a portrait profile; this will give an opportunity for your profile to look good. This will make the profiles easier to read. See the picture below.\n2 Make an initial profile and add it to a portfolio. Create an account with the portfolio and then send it back to them. Then, add the account to their portfolio, then, make a short profile or, more accurately, a long profile. This profile should be useful for the long term.\n\n    5 Change the name of an individual to an official profile name. Set a name for a public profile in the official name, as a private profile for example. Add a link to your portfolio name and select the number you want from the list of profiles you include in your membership profile picture. If you do not specify a particular profile or profile photo, the Profile Photo Profile will not be used to add an image to its profile profile page. See the following screenshot in Chapter 5.3:\n\n      10.2.4. Is the player in charge of selecting a Profile?', '-')","(0.3540375158190727, 0.4607175588607788, 0.3841525539755821, 0.452890008687973, 0.5031786561012268, 0.45918864011764526, 0.5016204118728638, 0.539691150188446, 0.3841525539755821)",0.1155364022153034,0.176863788189395,0.0626308528476643,0.036339301097004, Is there a way to create a competency interview?,", E""[1]"", ""EA"")
    E(""%s"", E:[0], ""F"")

   E""[2]F[-2].H: EA is EC[i].EA
     E=E
E=[0, 1]

     
C = E ""
          E_E = ""e""
           E=""EA""         E-E2
        E""E[:E]       = ""EF[E][E0][e0]-[e1][1];""

         C_2 = C_1
//      C-F = F
#         ""F-FG = [F]*[F]/[FA];
F1 = FC [E];F2= FC
FC [C] = G
G1=G2 [B1*E+F];G0=F
A1-G[C1]=E;G-M:F,E,F)

        C= E""    
0
L = EF[3]C[7];E#E3
M= F8[8]G
S = M[6]M[10]T
Y= M
Z1: T-Z
P1A: F-5F

    C
H = H
B = B
I = I
T1B: (P)H
U1C: U1(P);U2(M);H-I:M,M-P[M];M
N1F0: N1


You can make your dream job a reality, and you can still dream about it. If you have a dream, you will be an amazing person, someone who understands what it means to do what you want to achieve. Here are the things to learn in the workplace, where you won’t be able to get a job. You can learn from your past mistakes. But you must learn to become a better worker, not a good job, to succeed. Let’s talk about how you become an important part of your life. How will you feel if you are a great worker and someone that you enjoy working out that way?","(0.08720530962385152, 0.1150185886642508, 0.1362882940611111)",22.35570979606344,35.22297765186112,10.20408163265306,8.963184096096663, Is there a way to create a competency interview?,?,"(12.913616260039115, 22.9168704532047, 29.804368555535877)",0.0938212531710104,0.0717068569640613,0.2105263157894737,"(' Is there a way to create a competency interview?', 'What is the relation between an organization and a team?')",0.0,"('?', 'What is the authority of a team?')","(0.03538969, 0.09882353, 0.12941176)",10,0.43902257,0.082286954,0.6081,8.539583821442108
87,Using Chunks pythia-410m-deduped 15,"(0.43678293, 0.51852953, 0.47223252)","(0.07629904, 0.07435776, 0.07111061)","(0.6887, 0.6934, 0.6911)","(' How do you know whether a sport or a city is a sports venue?', 'What is the relation between a sport club and a city?')","(0.2241, 0.2382, 0.2309)","("" Do you have a sport-specific EC description, such as 'X, Y, and Z', or do you use them in other words?"", '-')","(0.3887581080198288, 0.48895980417728424, 0.42913036048412323, 0.44157542288303375, 0.5200196802616119, 0.47734205424785614, 0.48926761001348495, 0.5643792003393173, 0.42913036048412323)",0.1466614191841236,0.2128030795948297,0.0962182128876154,0.0367867981229184, Create a good example for a challenge. Consider a sport where the athlete has the highest fitness level. Is the sport that has a higher fitness in a field that does not have a high level of competition for other sports?, How do EC use and share information to create the competency?,"(0.11803428916369964, 0.13895123197704828, 0.15826500225277215)",26.429364687575564,34.86045984014367,19.26983994216275,5.007494494991199, How do you know whether a sport or a city is a sports venue?," How do EC use words to describe sport, or do they use a specific word?","(22.984618875218825, 25.21193223032133, 30.946734281627645)",0.1175711989062372,0.0742695763227771,0.2222222222222222,"(' Why did EC make the decision to make EC a sport?', 'What is the authority of a team?')",0.0,"(' How do EC players learn to perform as players?', 'What is an organization an authority of?')","(0.07769231, 0.12404092, 0.1780303)",15,0.47223252,0.07111061,0.6911,10.680391128659728
88,Using Chunks pythia-410m-deduped 20,"(0.44377407, 0.5267079, 0.47734135)","(0.10186645, 0.08101206, 0.0833896)","(0.7115, 0.7336, 0.7224)","(' What does the sport of sport consist of?', 'What does a sport club play?')","(0.2206, 0.2643, 0.2405)","(' Is the goal of a sport to not only be the first sport of its kind, but also the most important. What does this goal tell the athlete?', '-')","(0.38070499897003174, 0.49001210182905197, 0.4462360069155693, 0.43376560509204865, 0.5348988175392151, 0.4823078513145447, 0.5256402939558029, 0.5800205916166306, 0.4462360069155693)",0.1625002439597913,0.2255586815678977,0.1078452346436148,0.0365309934316468, Is the public offering EC a good fit for purpose?,".

A conventional fuel cell system includes a fuel source and a plurality of electrochemical cells. One of fuel cells is in contact with an anode fuel. An anode cell includes an electrolyte for supplying a supply of oxidant. Fuel cells are used to supply fuel to the anode. A fuel storage cell is used as an electrochemical storage device. When the fuel supply is supplied to storage cells, fuel is stored in storage. As a result, it is difficult to store fuel for storage and also to provide fuel-to-cell storage for storing fuel in one cell. Therefore, a storage medium used for the storage?","(0.13819851178118542, 0.15258343660881094, 0.19528591030447398)",29.055691808312154,40.68527677518732,13.050281332953,8.317663669036781, What does the athlete say about the sport?,".

A conventional fuel cell system includes a fuel source and a plurality of electrochemical cells. One of fuel cells is in contact with an anode fuel. An anode cell includes an electrolyte for supplying a supply of oxidant. Fuel cells are used to supply fuel to the anode. A fuel storage cell is used as an electrochemical storage device. When the fuel supply is supplied to storage cells, fuel is stored in storage. As a result, it is difficult to store fuel for storage and also to provide fuel-to-cell storage for storing fuel in one cell. Therefore, a storage medium used for the storage?","(26.71589361902807, 27.506922008088956, 34.47845837827063)",0.1724508502185453,0.0785988690222764,0.3,"(' Is the public offering EC a good fit for purpose?', 'What is the relation between a person and a team?')",0.0,"(' What does the sport of sport consist of?', 'Where is a team located?')","(0.14350649, 0.18, 0.21929825)",20,0.47734135,0.0833896,0.7224,10.207447998929549
89,Using Chunks pythia-410m-deduped 25,"(0.43237904, 0.50359195, 0.46299177)","(0.07469, 0.0707933, 0.06710255)","(0.6091, 0.6245, 0.6167)","(' Is the sport a good sport?', 'Who plays a sport?')","(0.2178, 0.2434, 0.2299)","(' Have a history, culture, or culture that is developed at a greater rate than that of other sports, have done for a larger audience?', '-')","(0.38957422971725464, 0.4783502221107483, 0.4270280674099922, 0.44948598742485046, 0.5107458531856537, 0.48230598866939545, 0.4849478080868721, 0.544585645198822, 0.4270280674099922)",0.1636788974488306,0.2746029898196731,0.079180821087194,0.0680042078254166, Is the sport of sport being a 'exclusive' activity in a competitive market?, How do the players know the answer to the following question?,"(0.11788040615599854, 0.14710848558095274, 0.2265942965999418)",27.711869228102938,39.0542440904194,17.669498223317735,6.352843155412608, Is the sport of sport being a 'exclusive' activity in a competitive market?," Do the words with the word 'EB' not in any context with this EC. (e.g. if I am not a member of Oceanside, I might as well be a part of one of my 'coaches'. If not, this is a good place to start.)
2) Is this a question that you want to ask about the meaning of these EC, or do you have any insight into how the context of this question affects the way you respond to it?","(24.12552657355879, 27.192477833378355, 29.83348039795605)",0.1872324805061377,0.1468708471028206,0.4615384615384615,"(' Is the sport a good sport?', 'What is the authority of a team?')",0.0,"(' How do the players know the answer to the following question?', 'Where is a team located?')","(0.09642857, 0.13809524, 0.23202614)",25,0.46299177,0.06710255,0.6167,9.350279046351158
90,Using Chunks pythia-410m-deduped 5,"(0.3989946, 0.49935955, 0.43826622)","(0.14048332, 0.10217724, 0.12482513)","(0.6277, 0.713, 0.6676)","(' What is the difference between EC and EC. Is EC in a valid subject?', 'What is the relation between a delegation and a name?')","(0.1457, 0.2836, 0.1925)","(';\n   } //bool                         //uint error\n};\nint mainint argc, char* argv[]\n {\n std_string  *str;                           //string for struct pointer\n int32                     const ptr;               //unsigned char\n  stdint64                     ptr[8];\n      stdin                     stdout;                  //int8\n }\n void print const char *const&; //printf""Input: %s"", ptr; \n void Print int16                     intptr, const char **const*;  \t//printf""%d"",ptr;   \n printf""%s: "", ptr ;\n print _ printf"" "";\n Print "" ""; Print "" ;                        \n _Print  print """"; Print """" ;  }    \n \\\nError: Error E std: Uncaught \n ~~~~~~~~~~~~~~~~~~~~~~~\n Error:                                                                 ~~~~~~~~~~~~~~~~~    \\\n error: E: error VBS error                                            ^^^^   -  \\     \\n\n         E:  error C  E error, error_name                   ^^^^    ?', 'What is different from a team?')","(0.27214494347572327, 0.44467292726039886, 0.3398560360074043, 0.4096953868865967, 0.4963047653436661, 0.44943875074386597, 0.5048042386770248, 0.5725227147340775, 0.3398560360074043)",0.1594628344243929,0.2722193010435868,0.0201595392836502,0.0907294344139166, The academy. What is the role of the academy in this sport?,";
   } //bool                         //uint error
};
int main(int argc, char* argv[])
 {
 std_string  *str;                           //string for struct pointer
 int32                     const ptr;               //unsigned char
  stdint64                     ptr[8];
      stdin                     stdout;                  //int8
 }
 void print (const char *const&); //printf(""Input: %s"", ptr); 
 void Print (int16                     intptr, const char **const*);  	//printf(""%d"",ptr);   
 printf(""%s: "", ptr );
 print (_) printf("" "");
 Print ("" ""); Print "" );                        
 _Print () print (""""); Print ""("" );  }    
 \
Error: Error (E) (std: Uncaught ())
 ~~~~~~~~~~~~~~~~~~~~~~~
 Error:                                                                 ~~~~~~~~~~~~~~~~~    \
 error: E: error (VBS error)                                            ^^^^   -  \     \n
         E:  error (C)  (E error, error_name)                   ^^^^    ?","(0.08623308555049411, 0.15665090015966654, 0.25351790496508186)",27.7225841786112,46.595247358737,6.973829025066341,12.925585473619137," Do you know how EC is different from EC in other EC areas, like the ECA area?"," Create a question for the sport you want to answer.

   The question is about the way you define sport in this way. In the next question, you can see the 'nervous' answer on the screen. You can find the answer in a dictionary and it will help you determine which EC is the best answer for your sport by your body. This way, it is a place where you are able to find an answer, and the meaning of the word 'out' is ""out"".

     The answer will be on a page. It will show the information of a sport that you believe in. To help the reader identify a sports-specific answer to a given sport, the following options will appear:

      * Name the appropriate answer
    * Description of your answer: The answer is in English. English is English, English in Spanish. Spanish is French, Italian is Italian. French is Portuguese. Italian will work for you. Latin is German. Italic is Swedish. German is Danish. Portuguese is Japanese. Dutch is Dutch. Russian is Czech. Austrian is Spanish and Italian as well. Polish is Russian. Greek is Arabic. Turkish is Turkish. Malay is Hebrew. Middle East is Israeli. Israeli is Palestinian. Arabic is Muslim. Hebrew is Persian. Jewish is Iranian. Persian is Greek. Danish is Chinese. Indonesian is Malay. Chinese is Pakistani. Iceland is Turkey. Thailand is Thailand. Hong Kong is Hongkong. Korean is Korean. Korea is Taiwan. Russia is Japan. Brazil is Argentina. Czech is Germany. Ukraine is Spain. France is Australia. New Zealand is Israel. Australia is Poland. Germany is Norway. Norway is Denmark. Spain is France. Chile is Chile. Mexico is India. India is Bangladesh. Pakistan is Pakistan. Turkey is Croatia. Greece is Italy. Italy is Greece. Argentina is Switzerland. Albania is Alban. Macedonia is Slovenia. Hungary is Hungary. Slovakia is Belgium. Poland is Latvia. Slovenes is Slovak. Sweden is Sweden. Lithuania, Poland, Denmark, Germany, Ireland, Sweden, Russia, China, Portugal, Italy, Turkey, Finland, Switzerland, Spain, Greece, Latvian, Polish, Norwegian, Mongol, Lithuanian. Moldovan is Moldova. Bulgaria is Serbia. Kosovo is Ukraine. Romania is Bulgaria. Cyprus is Cyprus. Yugoslavia and Spain are Croatia, Croatia and Bulgaria (see above).
2. Create an experience question and answer that has the skills of an athlete. If you have an ability to create a good answer using the same skills as the athlete you would ask. Do you know the difference between a real athlete and a professional athlete?","(16.334890012115693, 33.91806388834546, 35.94633826193474)",0.171131095713139,0.1254874871446347,0.4210526315789474,"(' The academy. What is the role of the academy in this sport?', 'What is the authority of a team?')",0.0,"(';\n   } //bool                         //uint error\n};\nint mainint argc, char* argv[]\n {\n std_string  *str;                           //string for struct pointer\n int32                     const ptr;               //unsigned char\n  stdint64                     ptr[8];\n      stdin                     stdout;                  //int8\n }\n void print const char *const&; //printf""Input: %s"", ptr; \n void Print int16                     intptr, const char **const*;  \t//printf""%d"",ptr;   \n printf""%s: "", ptr ;\n print _ printf"" "";\n Print "" ""; Print "" ;                        \n _Print  print """"; Print """" ;  }    \n \\\nError: Error E std: Uncaught \n ~~~~~~~~~~~~~~~~~~~~~~~\n Error:                                                                 ~~~~~~~~~~~~~~~~~    \\\n error: E: error VBS error                                            ^^^^   -  \\     \\n\n         E:  error C  E error, error_name                   ^^^^    ?', 'What is located in a city?')","(0.04806645, 0.1952381, 0.24305556)",5,0.43826622,0.12482513,0.6676,5.290053918404151
91,Using Triples flan-base 1,"(0.55649763, 0.5603453, 0.5566708)","(0.085722305, 0.08009013, 0.07621851)","(0.7185, 0.7229, 0.7207)","('What sport do publics observe?', 'What sport did a team play?')","(0.2197, 0.2661, 0.2406)","('What sport does the student read and study?', '-')","(0.5188699811697006, 0.5292788743972778, 0.52889384329319, 0.5629882216453552, 0.5681167840957642, 0.5689301788806915, 0.6069616675376892, 0.6060921996831894, 0.52889384329319)",0.2377009621269573,0.3023118841371022,0.118742176846255,0.0686241785305143,What is the public interest in sports?,What sport do publics observe?,"(0.1802853044128642, 0.2692157159519641, 0.28815237075285205)",37.17571770584921,41.29771074336292,29.67329458550608,3.493202471599525,What is the sport in the sample?,What public education topic does the subject sport cover?,"(34.472417515404274, 38.99063285866807, 39.802808184925325)",0.2838006111535523,0.0805692832263321,0.4,"(""What is the public's focus?"", 'What is a name?')",0.1333333333333333,"('What sport do publics observe?', 'What is the relation between an organization and a team?')","(0.25416667, 0.28571429, 0.34803922)",1,0.5566708,0.07621851,0.7207,10.873847715819885
92,Using Triples flan-base 10,"(0.46029833, 0.529026, 0.4910667)","(0.06919195, 0.08149242, 0.07092988)","(0.7009, 0.809, 0.7511)","('What is the sport that this person is a part of?', 'What is a person a part of?')","(0.2492, 0.1962, 0.2195)","('Which sport has a governing body that is involved in the competition?', '-')","(0.4209599867463112, 0.4876919686794281, 0.45193544030189514, 0.4648310989141464, 0.5345039367675781, 0.5010792016983032, 0.507757693529129, 0.5779467672109604, 0.45193544030189514)",0.20431542719005,0.2843765925789682,0.0945809347579063,0.0655489247758479,What is the sport that this person is a part of?,Which of the following are not part of the original role?,"(0.14382926516858224, 0.21034309495763112, 0.26857449050631166)",38.26011622891579,59.26731550587524,23.53303818473082,9.868281917726424,What is the sport that this person is a part of?,Which of the following are not part of the original role?,"(29.993484657750013, 38.800626620348595, 42.413352962294695)",0.2525936341098612,0.0819855402180134,0.3636363636363636,"('The player whose role is deprecated is the coach of what team?', 'What is the relation between a team and a city?')",0.125,"('Which sport has a competitive agent who has won a championship?', 'Where is a team located?')","(0.20555556, 0.25, 0.3336714)",10,0.4910667,0.07092988,0.7511,10.079031936239984
93,Using Triples flan-base 15,"(0.52301383, 0.58162653, 0.5492413)","(0.07788368, 0.08684619, 0.077120684)","(0.6835, 0.7925, 0.734)","('What is the event gender of a competition that is mixed?', 'What is the ranking of a team?')","(0.1995, 0.2314, 0.2143)","('What class is the gender of the sport that the athlete has competed in?', '-')","(0.49272242188453674, 0.5503717511892319, 0.5251383781433105, 0.5350317060947418, 0.5924569070339203, 0.5588761270046234, 0.5690454542636871, 0.632012203335762, 0.5251383781433105)",0.2154977780636859,0.2849508001516348,0.1393614652928795,0.0489904017877614,What is the gender class in event gender?,What type of competition do people play in?,"(0.18750841328283385, 0.21097369757440976, 0.25109787762796015)",40.89743033328905,51.21796645926181,26.261873634914,6.619333419026361,What type of competition do people play in?,The gender class of an event is what?,"(38.163785483980746, 42.37625156810708, 45.1712561332537)",0.2933091787439613,0.0570099846317698,0.3999999999999999,"('What type of competition is the event gender?', 'What is an organization an authority of?')",0.2222222222222222,"('What is the gender class in event gender?', 'Who is a member of the crew of a team?')","(0.25, 0.27329193, 0.325)",15,0.5492413,0.077120684,0.734,11.58240195330091
94,Using Triples flan-base 20,"(0.5344417, 0.568933, 0.5486117)","(0.10491044, 0.09460307, 0.09320082)","(0.7665, 0.8368, 0.8001)","('What is the round number?', 'What is a number?')","(0.2372, 0.2448, 0.2409)","('What round number indicates the number of rounds in a championship game?', '-')","(0.47185179591178894, 0.5222132354974747, 0.5013471245765686, 0.5499446988105774, 0.574508011341095, 0.565970778465271, 0.6101790368556976, 0.6347663402557373, 0.5013471245765686)",0.2386717342035228,0.3551739160233447,0.0840885895352126,0.0838034404947545,What is the round number associated with a certain sport?,Who have an equivalency of 1 to 2?,"(0.20561429538739484, 0.25622719652170545, 0.2871932910182371)",41.516109967495616,59.554037248178815,16.474924771435116,10.195816948691236,What is the round number?,Who have an equivalency of 1 to 2?,"(41.46389796211414, 42.042232883244395, 44.75590549090094)",0.2833333333333333,0.1282358937444756,0.5,"('What is the round number?', 'What is the authority of a team?')",0.0,"('Who have an equivalency of 1 to 2?', 'What is located in a city?')","(0.25, 0.3, 0.33333333)",20,0.5486117,0.09320082,0.8001,8.775053068053042
95,Using Triples flan-base 25,"(0.4654438, 0.52155304, 0.49037367)","(0.08940263, 0.09734301, 0.0886964)","(0.6951, 0.7573, 0.7249)","('What sport has a competitive agent?', 'What has a parent club?')","(0.1874, 0.2278, 0.2057)","('Which athlete has the highest winning percentage in the past 2 years?', '-')","(0.39966881275177, 0.4492880180478096, 0.42138010263442993, 0.46734386682510376, 0.5331539809703827, 0.5007221102714539, 0.536115750670433, 0.5945288091897964, 0.42138010263442993)",0.1695558818717783,0.3311643047235237,0.0899815053974507,0.0657586022420955,What is the name of the athlete who has a competitive opponent?,Which athlete has the highest winning percentage in the past 2 years?,"(0.11827541523822108, 0.17899723729278777, 0.18751033087417762)",34.516238641193354,44.923679351251046,22.91751446105204,7.074122713975688,What is the name of the athlete who has a competitive opponent?,Which athlete has the highest winning percentage in the past 2 years?,"(28.984782910847198, 34.38139280685169, 40.756045493310424)",0.2185634540897698,0.1162255702195964,0.3809523809523809,"('What is the name of the sports sport whose winner is an overseas competitor?', 'What is the authority of a team?')",0.0,"(""How many competing team's are represented by the governing body?"", 'What is a name?')","(0.13920455, 0.23026316, 0.28571429)",25,0.49037367,0.0886964,0.7249,8.155927724815935
96,Using Triples flan-base 5,"(0.47802967, 0.5059291, 0.4864142)","(0.16328909, 0.1239707, 0.14960864)","(0.7665, 0.8368, 0.8001)","('What is the round number?', 'What is a number?')","(0.0335, 0.2054, 0.0576)","('___POSITION________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________?', 'What started on a time?')","(0.4425232633948326, 0.479626789689064, 0.46708017587661743, 0.5095524787902832, 0.530965268611908, 0.5177752673625946, 0.5702781677246094, 0.5808232128620148, 0.46708017587661743)",0.1767001027931607,0.2878890439495175,0.0650018334662402,0.0761197619470547,What is the round number?,___POSITION________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________?,"(0.12236894781427009, 0.1615668157245248, 0.24620039969719792)",33.52922293132109,59.554037248178815,0.2380952380952381,16.420860285970278,What is the round number?,___POSITION________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________?,"(24.43664937004934, 32.54283678311106, 44.303504684979046)",0.1893239887047936,0.0934148746589078,0.3333333333333332,"('What is the nature of the round number?', 'What is the relation between an organization and a team?')",0.0,"('___POSITION________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________?', 'What is the authority of a team?')","(0.12669683, 0.2, 0.25769231)",5,0.4864142,0.14960864,0.8001,5.593006066674564
97,Using Triples flan-large 1,"(0.47190273, 0.4595934, 0.46463656)","(0.06764858, 0.053408507, 0.05666188)","(0.6359, 0.6676, 0.6514)","('sport is a public sport?', 'Who plays a sport?')","(0.277, 0.3036, 0.2897)","('Sports are viewed as a part of the public?', '-')","(0.4268641322851181, 0.4298833906650543, 0.43039753288030624, 0.4740328937768936, 0.4610241949558258, 0.4697895497083664, 0.5232728123664856, 0.4900011569261551, 0.43039753288030624)",0.1415086252664871,0.2179237350852967,0.0937847524648912,0.0418157542140881,sport is a public sport?,Sports are often played by the public.?,"(0.11734951434958897, 0.12391126707783783, 0.16854719001351484)",24.57361116986592,31.032824365326373,17.856607675621277,4.973500194536759,sport is a public sport?,Sport is public?,"(21.282440705698267, 23.299331544342518, 29.575875214717964)",0.182554945054945,0.0812038761790397,0.2666666666666666,"('sport is a public sport?', 'What is the relation between an organization and a team?')",0.0,"('Sports are often played by the public.?', 'What is a person?')","(0.1456044, 0.17692308, 0.2625)",1,0.46463656,0.05666188,0.6514,11.633668827126034
98,Using Triples flan-large 10,"(0.422322, 0.4753422, 0.445862)","(0.07789516, 0.086582854, 0.07784594)","(0.6227, 0.6313, 0.627)","('""Who is the governing body for sport?', 'Who is the head coach of a team?')","(0.2168, 0.2172, 0.217)","('Sports and athletics are classified as being public, but which sport is the most popular?', '-')","(0.3693271204829216, 0.4111723303794861, 0.39360078424215317, 0.42034538090229034, 0.4646832048892975, 0.43645355105400085, 0.4823315516114235, 0.5470151156187057, 0.39360078424215317)",0.1614747153582452,0.2357642864421816,0.0935065766038575,0.0509183823730868,"Sports and athletics are classified as being public, but which sport is the most popular?",Triple Crown of the Americas?,"(0.10442060254502274, 0.18935753961718346, 0.19860961871943267)",28.908182284205747,43.08303183245922,18.256480288151835,6.13397848660228,What type of competition can be held in a round number?,Triple Crown of the Americas?,"(28.087450694337047, 29.403804893053447, 29.841292726298498)",0.138234925549167,0.1055012835284029,0.3157894736842105,"('What are the sports that have a public domain?', 'What is the relation between an organization and a team?')",0.0,"('Athletes who compete in the Summer Olympics are deprecated due to improper naming.?', 'What is an organization an authority of?')","(0.02631579, 0.1577381, 0.20789474)",10,0.445862,0.07784594,0.627,8.945865945819286
99,Using Triples flan-large 15,"(0.44358525, 0.5018811, 0.46757144)","(0.08235792, 0.0807616, 0.07132627)","(0.649, 0.6551, 0.652)","('How is event gender determined?', 'Where is a team located?')","(0.2241, 0.2053, 0.2143)","('Governing body is a group of individuals that are legally responsible for governing the laws of a country or region. Which entity governs the sport?', '-')","(0.3941045328974724, 0.46160557121038437, 0.42908983677625656, 0.4394206255674362, 0.5177189111709595, 0.46440520882606506, 0.4913313239812851, 0.5550613552331924, 0.42908983677625656)",0.1671102524855818,0.2473172642052246,0.0773275566865336,0.0545780231325189,"Sports, Governing Body, are the two largest sports in the United States. What is the name of the governing body?","Governing body, sport?","(0.1186458571477168, 0.16857560887991, 0.20791412284747723)",27.05065070505816,41.319286436333925,19.037419268210293,6.269589724798318,The gender class of an event can be found in what type of competition?,How is event gender determined?,"(22.574950816688485, 26.16730942954858, 28.587241982000855)",0.2016893155405585,0.0982689525744878,0.3448275862068966,"('The sport of football, or soccer, is a publicly-hosted sport. Which sports do most of the spectators enjoy?', 'Who is a member of the crew of a team?')",0.0,"('Governing body, sport?', 'What is located in a city?')","(0.14890282, 0.19302326, 0.26984127)",15,0.46757144,0.07132627,0.652,9.660394479988158
100,Using Triples flan-large 20,"(0.47658584, 0.5059662, 0.48899877)","(0.095068015, 0.08717693, 0.08682064)","(0.7244, 0.7646, 0.7439)","('What is the first round of a competition?', 'What is the ranking of a team?')","(0.2204, 0.2176, 0.219)","('There are 10 sports on the continent of North America. Each sport has multiple disciplines, which sport has the highest population?', '-')","(0.41830893605947495, 0.4554108455777168, 0.439998984336853, 0.4714297503232956, 0.5008958578109741, 0.47867438197135925, 0.5363344550132751, 0.5585986077785492, 0.439998984336853)",0.1687218598878448,0.3696464320353602,0.0908095481213822,0.0782093367580113,What is the first round of a competition?,"There are 10 sports on the continent of North America. Each sport has multiple disciplines, which sport has the highest population?","(0.10640403454333278, 0.16087225001017613, 0.18934073808851587)",34.05085804508996,51.275663769844456,22.694920338079708,9.925199054002912,What is the first round of a competition?,List of public sports?,"(25.99927162276759, 29.329247998903114, 41.8016698740809)",0.1807263814616755,0.1431686044734287,0.4285714285714285,"('What is the first round of a competition?', 'What is located in a city?')",0.0,"('List of public sports?', 'What is the relation between an organization and a team?')","(0.03125, 0.20238095, 0.24632353)",20,0.48899877,0.08682064,0.7439,7.823905540070507
101,Using Triples flan-large 25,"(0.48733968, 0.5019749, 0.4933501)","(0.094173715, 0.09370093, 0.09059462)","(0.6787, 0.7865, 0.7286)","('What sport is a public sport?', 'What is a color?')","(0.2348, 0.2225, 0.2285)","('Which sport has the most away competitors?', '-')","(0.4253841042518616, 0.4366723597049713, 0.4351958930492401, 0.4849138855934143, 0.49534663558006287, 0.4858611524105072, 0.5480732768774033, 0.5712499022483826, 0.4351958930492401)",0.1600011013453498,0.2630203631424718,0.0669702275357067,0.0700166760020663,What sport is a public sport?,During which competitions are away competitors banned from competing?,"(0.10035446857949507, 0.15620368579194774, 0.22247096609347516)",36.15718883693503,45.73704311484635,22.15915105526929,7.384128214610907,What is the range of the distance away competitors?,The governing body of the sport is known as what?,"(32.2521586801617, 36.607229363859325, 42.85202771281351)",0.1804997453526865,0.1141215799937064,0.3749999999999999,"('What sport is a public sport?', 'What is the relation between an organization and a team?')",0.0,"('Where do mens competitions usually take place?', 'What is an organization an authority of?')","(0.12394958, 0.19090909, 0.25882353)",25,0.4933501,0.09059462,0.7286,7.779840430365547
102,Using Triples flan-large 5,"(0.45890424, 0.5290437, 0.48963362)","(0.09561145, 0.10222212, 0.0930016)","(0.7078, 0.8358, 0.7665)","('What is the type of round number?', 'What is a number?')","(0.2159, 0.2755, 0.2421)","('a list of athletics competitions, based on the category of sport, sorted by category?', '-')","(0.3983604609966278, 0.4468170255422592, 0.4259426072239876, 0.4504757821559906, 0.5478786826133728, 0.4960981756448746, 0.5185736864805222, 0.604358583688736, 0.4259426072239876)",0.2522823567233446,0.3957559071277837,0.1515220049815221,0.0832927916156767,"If an athlete is ranked at a certain position, what is the maximum number of players a team can have?",Are there any other types of a sport other than public?,"(0.1767848154579894, 0.24121405891604816, 0.2936429727523496)",36.415187673333584,64.58022069053985,21.518186528761767,12.70645683001962,What is the public's classification for sport?,"List of rounds of the Olympic Games, with category, public, is a public sport.?","(29.229971191757947, 32.97255501915301, 38.19588954320703)",0.2695623812771521,0.1170890798373688,0.4615384615384615,"('What is the best sport for a young person if they can play on any team?', 'What is the relation between a person and a team?')",0.064516129032258,"('Sports are played in public and are considered to be public activities. Can you tell me the range of the number of people in a sports team?', 'What is a person?')","(0.1984127, 0.3019943, 0.33333333)",5,0.48963362,0.0930016,0.7665,8.322307686883098
